Tienda,ID,Producto,Precio,imgUrl
La Comer,12,Jamon de pierna horneado sin sal   penaranda,300.00,https://www.lacomer.com.mx/superc/img_art/2623630000004_3.jpg
La Comer,13,Pate de jamon lourio lourino,47.00,https://www.lacomer.com.mx/superc/img_art/8411769500052_3.jpg
La Comer,14,Jamon pavo yarden,120.38,https://www.lacomer.com.mx/superc/img_art/7501134500655_3.jpg
La Comer,15,Baguette jamon de pavo    ,34.50,https://www.lacomer.com.mx/superc/img_art/2655763000002_3.jpg
La Comer,16,Croquetas de jamon   f/m,110.00,https://www.lacomer.com.mx/superc/img_art/2650466000007_3.jpg
La Comer,17,Jamon virginia bafar,106.00,https://www.lacomer.com.mx/superc/img_art/2620144000001_3.jpg
La Comer,18,Jamon gran reserva   parma,280.00,https://www.lacomer.com.mx/superc/img_art/7501518491920_3.jpg
La Comer,19,Jamon de pavo  sabori a granel . sabori,150.00,https://www.lacomer.com.mx/superc/img_art/7501518492187_3.jpg
La Comer,20,Jamon serrano san rafael,66.00,https://www.lacomer.com.mx/superc/img_art/75014391_3.jpg
La Comer,21,Jamon gran reserva   parma,280.00,https://www.lacomer.com.mx/superc/img_art/2624855000008_3.jpg
La Comer,22,Jamon de pavo  sabori a granel . sabori,150.00,https://www.lacomer.com.mx/superc/img_art/2622451000002_3.jpg
La Comer,23,Jamon   virginia  campestre . campestre,107.00,https://www.lacomer.com.mx/superc/img_art/2622881000009_3.jpg
La Comer,24,Sandwich jamon de pavo    ,28.00,https://www.lacomer.com.mx/superc/img_art/2655749000002_3.jpg
La Comer,25,Jamon serrano prosciuto mastro,493.00,https://www.lacomer.com.mx/superc/img_art/2621268000007_3.jpg
La Comer,26,Jamon a las finas hierbas   penaranda,304.00,https://www.lacomer.com.mx/superc/img_art/2624209000005_3.jpg
La Comer,27,Jamon sabor tocino lata   spam,59.97,https://www.lacomer.com.mx/superc/img_art/37600336581_3.jpg
La Comer,28,Jamon pierna fino kir,126.00,https://www.lacomer.com.mx/superc/img_art/7501147514571_3.jpg
La Comer,29,Jamon pierna fino kir,126.00,https://www.lacomer.com.mx/superc/img_art/2621027000002_3.jpg
La Comer,30,Jamon   virginia  campestre . campestre,107.00,https://www.lacomer.com.mx/superc/img_art/7501518493139_3.jpg
La Comer,31,Jamon americano   bafar,21.00,https://www.lacomer.com.mx/superc/img_art/7501518482072_3.jpg
La Comer,32,Jamon serrano    la espanola,61.90,https://www.lacomer.com.mx/superc/img_art/7501392227226_3.jpg
La Comer,33,Jamon de jabugo bellotero   bellotero,452.00,https://www.lacomer.com.mx/superc/img_art/8420391528457_3.jpg
La Comer,34,Jamon cocido ahumado oscar mayer,92.50,https://www.lacomer.com.mx/superc/img_art/44700066324_3.jpg
La Comer,35,Sandwich jamon serrano    ,30.00,https://www.lacomer.com.mx/superc/img_art/2655751000007_3.jpg
